Year,recy_rate_2010,recy_rate_2011,recy_rate_2012,recy_rate_2013,recy_rate_2014,recy_rate_2015,recy_rate_2016,recy_rate_2017,recy_rate_2018,recy_rate_2019,recy_rate_2020,recy_rate_2021
Code,,,,,,,,,,,,
BEL,79.8,80.2,80.3,78.7,81.3,81.5,81.9,83.8,85.3,83.5,79.7,80.4
BGR,61.6,65.1,66.5,65.7,62,64.1,63.8,65.6,60.4,61.2,,
CZE,70,69.7,69.9,69.9,73,74.3,75.3,72.3,69.6,71.2,67.9,69.1
DNK,84,54.3,61.6,69.8,69.8,73.9,79,71.5,70.1,70.4,64,
DEU,72.7,71.8,71.3,71.8,71.4,69.3,70.7,69.9,68.5,64,68.1,67.9
EST,56.1,62.9,61.3,58.4,60.3,59,56,53.5,60.4,66.2,71.4,70.4
IRL,66.2,70.9,74,70.2,68.3,67.5,67,65.6,63.9,62.5,62.4,58.1
GRC,58.7,62.1,58.6,52.4,53.8,60.3,66.1,68.6,63.6,60.1,,
ESP,61.9,63.9,65.5,66.6,68.7,68.4,70.3,68.5,68.8,69.6,68.3,70.1
FRA,61.1,61.3,64.9,66.4,65.2,65.5,66,68.1,63.5,65.6,60.3,61.8
HRV,,,59.7,58.8,52.7,60.1,54.7,53.3,58.4,48.9,54.2,50.8
ITA,64.4,64.5,66.6,66.7,65.4,66.8,66.9,67.1,68.3,69.6,72.8,72.9
CYP,50,52,55.3,56.6,58.7,59.8,64.6,66.2,70.2,66.8,59.9,63.5
LVA,48.9,50.9,51.1,51,54.9,53.9,57.7,58.7,55.8,62.4,61.4,61
LTU,60.4,62.2,62.2,53.5,57.7,59.8,69.5,61.8,60.7,61.9,61.8,
LUX,66,66,62.5,62.8,66,70,70.3,69.7,70.9,71.5,71.9,73.7
HUN,58.7,59.3,48.5,49.2,48.4,50.1,49.7,49.7,46.1,47,52.4,
MLT,28.5,42.3,46.6,38.1,41.1,37.1,39.7,35.6,35.7,33.7,40,38.4
NLD,73.9,71.9,69.3,70.4,70.5,71.7,72.6,78.1,79.4,80.7,76.5,76.8
AUT,66.6,65.8,65.9,66.6,66.6,67.1,66.8,65.6,65.5,65.4,63.7,65.8
POL,38.9,41.2,41.4,36.1,55.4,57.6,58,56.7,58.7,55.5,,
PRT,55.5,58.4,56.9,61.5,61,57.1,60.9,55.3,57.9,62.8,59.5,63.1
ROU,43.4,50,56.8,52.8,54.8,55.9,60.4,60.4,57.9,44.6,39.9,
SVN,61,63.6,66.9,69,70.4,67,69.4,70.1,68,67.1,67.9,55.1
SVK,45.7,62.4,68.1,65.9,65.4,64.3,65.8,65.7,66.6,67.5,70.8,
FIN,55.4,58.7,59.3,58,57.4,60.9,64.7,65.2,70.2,70.6,73.2,72.5
SWE,69.2,71.5,69.6,71.9,70.5,71.8,68.2,71.7,65,63.6,60.9,59.6
,33.9,44,40.7,42.9,42.8,47.4,47.2,44.4,51.2,46.3,57,49.8
,45.9,48.7,44.3,50.3,51.9,66.1,65.8,66.7,68,70,72.1,72.2
,56.7,57.5,55.9,54.5,55.7,55.1,56.3,54.5,52.9,53.9,52.5,
,,,,,,,,,,,,
,60.7,60.8,61.4,64.6,59.2,60.6,64.7,63.9,62.1,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,not available,,,,,,,,,,,
,,,,,,,,,,,,
,"break in time series, estimated",,,,,,,,,,,
,break in time series,,,,,,,,,,,
,estimated,,,,,,,,,,,
,Eurostat estimate,,,,,,,,,,,
