Country Name,Country Code,Indicator Name,Indicator Code,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Code,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,Plastic_Waste_2000,Plastic_Waste_2001,Plastic_Waste_2002,Plastic_Waste_2003,Plastic_Waste_2004,Plastic_Waste_2005,Plastic_Waste_2006,Plastic_Waste_2007,Plastic_Waste_2008,Plastic_Waste_2009,Plastic_Waste_2010,Plastic_Waste_2011,Plastic_Waste_2012,Plastic_Waste_2013,Plastic_Waste_2014,Plastic_Waste_2015,Plastic_Waste_2016,Plastic_Waste_2017,Plastic_Waste_2018
Austria,AUT,"Population, total",SP.POP.TOTL,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,AUT,34796.258,35272.223,35823.586,36063.12,36957.113,37642.76,38866.848,40305.273,40964.793,39463.656,40288.348,41446.0,41565.0,41375.0,41338.0,41294.0,41445.0,42177.37,42988.07,26.21,25.43,24.75,26.69,27.55,27.35,28.8,29.49,30.23,30.66,31.63,31.48,32.24,34.05,34.16,34.12,34.09,34.36,34.16
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,BEL,33719.77,33923.344,34419.695,34588.477,35740.35,36338.383,37051.902,38082.875,38117.348,36998.65,37739.33,38130.0,37906.0,37737.0,38228.0,38569.0,38766.0,39352.164,39756.203,23.78,23.32,24.97,26.8,27.01,27.7,28.66,29.06,28.16,28.11,28.96,28.62,28.85,29.51,29.36,30.13,30.28,30.36,30.4
Cyprus,CYP,"Population, total",SP.POP.TOTL,948237.0,964830.0,982194.0,1000350.0,1018684.0,1037062.0,1055438.0,1073873.0,1092390.0,1110974.0,1129686.0,1145086.0,1156556.0,1166968.0,1176995.0,1187280.0,1197881.0,1208523.0,1218831.0,CYP,22326.799,23095.736,23828.072,24347.076,25355.24,26164.209,27142.018,28109.996,28736.975,27735.033,27630.104,27272.0,26011.0,24519.0,24411.0,24963.0,25577.0,26445.287,27184.416,22.042,22.65,23.884,22.634,44.83,46.36,17.05,19.18,21.11,19.48,19.03,17.85,17.62,18.25,18.56,18.99,19.34,20.47,19.97
Czechia,CZE,"Population, total",SP.POP.TOTL,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,CZE,17056.16,17868.568,18431.027,19344.09,20555.035,22128.58,23888.164,25382.807,26186.045,25093.863,25922.395,26725.0,26474.0,26338.0,27024.0,28194.0,28823.0,29997.758,30748.508,22.042,22.65,23.884,16.94,17.37,20.25,19.93,21.08,20.82,19.99,20.01,19.95,20.14,20.46,20.79,23.45,22.42,23.59,25.16
Germany,DEU,"Population, total",SP.POP.TOTL,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,DEU,33367.285,34260.29,34590.93,34716.44,35528.715,36205.574,38014.137,39752.207,40715.434,38962.938,41109.582,43189.0,43320.0,43413.0,43922.0,44293.0,44689.0,45619.785,46177.617,21.78,22.95,25.13,25.09,27.33,28.71,31.46,32.14,33.28,32.0,32.9,34.58,35.27,35.63,36.37,37.36,37.62,38.53,39.03
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,DNK,39021.176,39425.863,39709.37,39983.145,41178.562,42264.63,44025.484,44481.47,44246.4,42090.17,42932.4,43575.0,43510.0,43733.0,44241.0,44635.0,44836.0,45455.555,46312.344,29.44,28.02,29.25,28.71,32.25,33.73,35.09,35.12,30.01,29.96,29.82,33.8,32.85,33.85,33.22,34.67,37.46,34.81,42.88
Spain,ESP,"Population, total",SP.POP.TOTL,40567864.0,40850412.0,41431558.0,42187645.0,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,ESP,26994.86,28153.553,28753.322,29371.865,30088.092,30885.602,31907.424,32735.434,32844.324,31669.691,31786.404,31600.0,30699.0,30280.0,30819.0,31847.0,30110.0,30908.12,31496.52,29.41,32.24,31.84,33.36,34.09,35.86,36.38,37.12,34.49,31.12,30.01,28.99,27.89,28.0,30.52,31.75,32.84,34.53,35.37
Estonia,EST,"Population, total",SP.POP.TOTL,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,EST,16806.975,17696.61,18589.15,19771.742,20803.758,22518.541,24578.816,26177.871,24429.021,20538.049,20713.426,21997.0,23026.0,23436.0,24146.0,24493.0,24857.0,26254.201,27408.664,27.718,27.982,28.902,29.388,21.26,23.29,26.85,27.85,53.72,39.42,38.22,39.18,35.98,49.06,50.17,46.47,49.1,49.95,41.9
Finland,FIN,"Population, total",SP.POP.TOTL,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,FIN,32689.77,33481.68,33986.555,34607.22,35888.613,36787.258,38160.703,39998.527,40129.652,36662.613,37615.113,38432.0,37704.0,37246.0,36858.0,36836.0,37239.0,38366.56,38896.7,16.88,16.85,16.75,17.15,17.2,19.08,18.4,18.63,21.71,21.04,21.67,21.74,21.65,21.65,21.38,21.27,22.36,23.66,24.52
France,FRA,"Population, total",SP.POP.TOTL,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,FRA,33409.68,33920.098,34152.773,34292.03,35093.824,35495.465,36166.16,36845.684,36761.793,35534.926,36086.727,36691.0,36571.0,36632.0,36527.0,36827.0,37124.0,37895.0,38515.918,29.29,29.21,30.29,31.43,31.66,31.86,32.53,33.12,31.89,29.1,30.88,31.2,30.53,30.09,31.1,32.06,32.65,34.8,35.09
