Code,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,Plastic_Waste_2000,Plastic_Waste_2001,Plastic_Waste_2002,Plastic_Waste_2003,Plastic_Waste_2004,Plastic_Waste_2005,Plastic_Waste_2006,Plastic_Waste_2007,Plastic_Waste_2008,Plastic_Waste_2009,Plastic_Waste_2010,Plastic_Waste_2011,Plastic_Waste_2012,Plastic_Waste_2013,Plastic_Waste_2014,Plastic_Waste_2015,Plastic_Waste_2016,Plastic_Waste_2017,Plastic_Waste_2018
IRL,38806.5,40966.332,43012.816,44372.758,47028.863,49223.383,51296.195,52322.23,49583.14,47375.734,48623.81,48980.0,48333.0,48743.0,52651.0,54278.0,56597.0,60544.277,64684.3,44.84,44.89,45.09,56.13,51.99,52.41,61.75,54.03,55.25,49.47,41.14,34.65,36.65,44.4,59.32,60.01,57.94,58.38,54.24
LUX,50063.824,50527.664,51709.734,51717.03,52624.164,53262.094,54920.81,58369.703,56383.19,52731.39,54086.336,54031.0,52562.0,53411.0,55102.0,55972.0,57006.0,56779.55,57427.5,21.87,21.89,21.81,39.5,48.19,47.93,46.88,52.58,44.47,41.56,43.96,45.92,45.73,50.1,50.02,46.88,46.14,46.39,42.61
NLD,37899.95,38636.223,38653.125,38803.957,39682.375,40679.49,42286.51,44008.75,44840.71,43178.508,43812.348,44591.0,43957.0,43744.0,44205.0,44869.0,45600.0,46650.754,47474.11,28.76,30.29,32.82,33.22,33.72,36.27,27.22,28.45,26.88,25.86,27.32,26.6,27.39,27.85,28.11,29.04,29.54,29.89,30.35
DNK,39021.176,39425.863,39709.37,39983.145,41178.562,42264.63,44025.484,44481.47,44246.4,42090.17,42932.4,43575.0,43510.0,43733.0,44241.0,44635.0,44836.0,45455.555,46312.344,29.44,28.02,29.25,28.71,32.25,33.73,35.09,35.12,30.01,29.96,29.82,33.8,32.85,33.85,33.22,34.67,37.46,34.81,42.88
DEU,33367.285,34260.29,34590.93,34716.44,35528.715,36205.574,38014.137,39752.207,40715.434,38962.938,41109.582,43189.0,43320.0,43413.0,43922.0,44293.0,44689.0,45619.785,46177.617,21.78,22.95,25.13,25.09,27.33,28.71,31.46,32.14,33.28,32.0,32.9,34.58,35.27,35.63,36.37,37.36,37.62,38.53,39.03
SWE,34202.605,34666.664,35569.773,36435.754,38016.062,39258.992,40992.3,42399.844,42189.965,40116.312,42634.754,42079.0,41650.0,41811.0,42476.0,43746.0,44659.0,45192.742,45541.89,16.73,17.93,18.74,18.41,19.03,19.45,20.46,20.91,20.95,20.61,21.16,22.43,22.44,23.18,23.55,23.57,24.03,23.93,24.17
AUT,34796.258,35272.223,35823.586,36063.12,36957.113,37642.76,38866.848,40305.273,40964.793,39463.656,40288.348,41446.0,41565.0,41375.0,41338.0,41294.0,41445.0,42177.37,42988.07,26.21,25.43,24.75,26.69,27.55,27.35,28.8,29.49,30.23,30.66,31.63,31.48,32.24,34.05,34.16,34.12,34.09,34.36,34.16
BEL,33719.77,33923.344,34419.695,34588.477,35740.35,36338.383,37051.902,38082.875,38117.348,36998.65,37739.33,38130.0,37906.0,37737.0,38228.0,38569.0,38766.0,39352.164,39756.203,23.78,23.32,24.97,26.8,27.01,27.7,28.66,29.06,28.16,28.11,28.96,28.62,28.85,29.51,29.36,30.13,30.28,30.36,30.4
FIN,32689.77,33481.68,33986.555,34607.22,35888.613,36787.258,38160.703,39998.527,40129.652,36662.613,37615.113,38432.0,37704.0,37246.0,36858.0,36836.0,37239.0,38366.56,38896.7,16.88,16.85,16.75,17.15,17.2,19.08,18.4,18.63,21.71,21.04,21.67,21.74,21.65,21.65,21.38,21.27,22.36,23.66,24.52
FRA,33409.68,33920.098,34152.773,34292.03,35093.824,35495.465,36166.16,36845.684,36761.793,35534.926,36086.727,36691.0,36571.0,36632.0,36527.0,36827.0,37124.0,37895.0,38515.918,29.29,29.21,30.29,31.43,31.66,31.86,32.53,33.12,31.89,29.1,30.88,31.2,30.53,30.09,31.1,32.06,32.65,34.8,35.09
