Dataset:,Generation of plastic packaging waste per capita [cei_pc050],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Code,,,,,,,,,,,,,,,,,,,,,,
IRL,44.84,44.89,45.09,56.13,51.99,52.41,61.75,54.03,55.25,49.47,41.14,34.65,36.65,44.4,59.32,60.01,57.94,58.38,54.24,64.67,61.52,74.07
LUX,21.87,21.89,21.81,39.5,48.19,47.93,46.88,52.58,44.47,41.56,43.96,45.92,45.73,50.1,50.02,46.88,46.14,46.39,42.61,42.3,39.08,35.8
EST,:,:,:,:,21.26,23.29,26.85,27.85,53.72,39.42,38.22,39.18,35.98,49.06,50.17,46.47,49.1,49.95,41.9,43.31,40.32,37.63
ISL,:,:,:,:,:,:,:,:,:,:,37.85,35.81,37.34,44.73,43.14,44.98,46.04,46.74,47.55,48.51,39.42,44.55
DEU,21.78,22.95,25.13,25.09,27.33,28.71,31.46,32.14,33.28,32,32.9,34.58,35.27,35.63,36.37,37.36,37.62,38.53,39.03,39.11,39.71,41.09
PRT,27.79,29.28,31.19,31.55,32.86,33.86,35.86,35.89,36.74,35.77,34.14,33.79,33.31,34.16,34.59,35.7,36.66,38.86,40.31,40.54,40.34,41.32
NOR,:,:,:,:,:,:,28.31,29.92,29.57,30.51,29.98,30.71,31.49,33.79,32.15,35.49,36.91,41.81,41.74,44.86,46.12,:
ITA,33.37,34.23,34.19,34.9,35.61,36.21,37.87,38.84,37.48,35.4,34.94,34.94,34.46,33.91,34.25,35.05,36.53,37.52,37.93,38.75,37.16,38.4
GBR,27.17,28.4,29.31,30.05,30.77,31.48,34.18,34.59,35.35,39.21,39.49,39.77,40.09,35.24,34.36,34.71,34.45,34.21,35.52,:,:,:
DNK,29.44,28.02,29.25,28.71,32.25,33.73,35.09,35.12,30.01,29.96,29.82,33.8,32.85,33.85,33.22,34.67,37.46,34.81,42.88,39.8,39.27,:
AUT,26.21,25.43,24.75,26.69,27.55,27.35,28.8,29.49,30.23,30.66,31.63,31.48,32.24,34.05,34.16,34.12,34.09,34.36,34.16,33.31,33.55,33.36
FRA,29.29,29.21,30.29,31.43,31.66,31.86,32.53,33.12,31.89,29.1,30.88,31.2,30.53,30.09,31.1,32.06,32.65,34.8,35.09,35.47,35.69,36.79
ESP,29.41,32.24,31.84,33.36,34.09,35.86,36.38,37.12,34.49,31.12,30.01,28.99,27.89,28,30.52,31.75,32.84,34.53,35.37,35.75,36,37.34
European Union - 27 countries (from 2020),:,:,:,:,:,28.18,29.19,29.47,29.2,27.7,28.01,28.35,28.46,28.84,29.75,30.76,31.53,32.64,33.17,34.14,34.55,35.92
